playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481582,2021,Nicholas Robertson,TOR,L,4on5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8470621,2021,Corey Perry,TBL,R,4on5,82,80,6,2.39,0,0.08,0,0.17,0,0.16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,1,1,4,0,0,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,2.74,9,43,0,0,0,0,0,0
8478486,2021,Chase Pearson,DET,C,4on5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8474618,2021,Marco Scandella,STL,D,4on5,70,8652,205,7.13,0.12,0.28,0.12,0.23,0.14,0.27,141,3.87,0.16,0.21,0.68,0.15,1.62,3.18,0.16,0.16,0.16,1,1,5,1,1,7,2,0,0,0,0,0,2,4,5,6,0,0,0,9,1,3,6,0,0,0.16,0,0,0,0,0,7,6,6,3,0.05,0,0,0.21,0.21,0.2,205,3,103,17,82,6,36,19,144,0,0,8347,0,0,0,0,20.45,1.76,1.75,1.76,1.75,24,4,5,33,2,1,0,22,4,2,0.65,0.49,0.62,1,1,0,33,28,28,0.22,0.27,0.27,1.72,1.72,1.71,124.13,12.63,11.51,12.63,11.51,129,46,57,232,7,18,1,131,27,17,3.07,3.67,5.88,0,3,4,232,175,175,3.08,3.77,3.77,11.93,11.93,11.59,4.61,12.04,53,180,0.48,0,7,0,7,0
8478856,2021,Conor Garland,VAN,R,4on5,77,174,9,7.63,0.04,0.04,0.25,0.12,0.25,0.13,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,5,1,1,1,6,0,0,2103,0,0,0,0,0.68,0.03,0.02,0.03,0.02,1,0,0,1,0,0,0,1,0,0,0.03,0,0,0,0,0,1,1,1,0.01,0,0,0.04,0.04,0.03,2.13,0.68,0.68,0.68,0.68,1,2,0,3,0,0,0,2,0,1,0.05,0,0.63,0,0,0,3,3,3,0.04,0,0,0.72,0.72,0.72,0.15,3.3,7,53,0,0,0,0,0,0
8475191,2021,Reilly Smith,VGK,R,4on5,56,5651,140,44.4,0.15,0.15,0.13,0.12,0.17,0.16,138,8.79,1.1,0.46,1.18,0.25,2.53,5.49,1.09,1.1,1.09,2,0,10,1,1,12,4,2,0,0,3,0,0,6,8,9,0,0,2,6,4,3,5,4,2,0.1,0.43,0.57,0,0,2,12,11,11,2,0.11,0,0,1.2,1.2,1.2,140,1,91,6,42,9,22,22,87,2,0,8116,0,2,1,0,16.89,1.57,1.57,1.57,1.57,19,3,2,24,4,0,0,15,5,2,0.45,0.55,0.57,1,1,2,24,22,22,0.19,0,0,1.76,1.76,1.76,76.46,8.77,8.41,8.77,8.41,74,32,57,163,10,9,1,82,11,13,1.71,1.37,5.69,2,1,7,163,106,106,1.87,1.35,1.35,9.3,9.3,8.91,3.06,17.69,35,247,0,0,0,1,0,0
8480887,2021,Jordan Harris,MTL,D,4on5,10,155,4,-0.62,0,0.14,0,0.09,0,0.11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,1,1,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0.18,0.18,0.18,0.18,2,0,2,4,0,0,0,1,1,0,0.02,0.16,0,0,0,0,4,2,2,0.03,0,0,0.21,0.21,0.21,0.37,2.22,3,29,0,0,0,0,0,0
8476545,2021,Kurtis Gabriel,CHI,R,4on5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476429,2021,Scott Mayfield,NYI,D,4on5,61,8186,133,14.3,0.13,0.23,0.12,0.19,0.13,0.22,87,1.44,0.02,0.06,0.14,0.03,0.53,1.22,0.02,0.02,0.02,0,1,2,0,0,2,1,0,0,0,0,0,0,2,2,2,1,2,0,6,4,2,2,0,0,0.02,0,0,0,0,0,2,2,2,2,0.01,0,0,0.03,0.03,0.03,133,0,81,11,41,4,22,21,86,0,0,5365,2,0,0,0,18.6,1.81,1.79,1.81,1.79,20,5,5,30,1,1,0,18,5,2,0.5,0.68,0.64,0,1,0,30,25,25,0.21,0.39,0.39,1.63,1.63,1.63,117.78,12.04,11.52,12.04,11.52,121,47,62,230,15,12,2,126,29,13,3.37,3.59,5.08,5,3,7,230,168,168,2.83,1.52,1.63,13.25,13.25,12.83,1.86,6.42,33,144,0.06,0,3,0,3,0
8481575,2021,Lassi Thomson,OTT,D,4on5,16,557,20,4.42,0.06,0.08,0.1,0.12,0.13,0.14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,2,14,2,3,3,12,0,0,3556,0,0,0,0,1.48,0.1,0.1,0.1,0.1,2,0,0,2,1,0,0,2,0,0,0.1,0,0,1,0,0,2,2,2,0.01,0,0,0.11,0.11,0.11,8.82,1.73,1.71,1.73,1.71,11,2,5,18,3,1,1,8,3,2,0.06,0.34,1.33,0,1,2,18,13,13,0.22,0.82,0.82,1.13,1.13,1.11,0.67,7.18,15,108,0,0,0,0,0,0
8473544,2021,Derick Brassard,EDM,C,4on5,46,64,6,3.53,0,0.05,0,0.11,0,0.13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,5,1,1,0,4,0,4,1753,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,2.33,6,50,0,0,0,0,0,0
